UNITID,EFTOTLT,RET_PCF,RET_PCP,STUFACR,risk_score,low_retention,pct_black,pct_hispanic,pct_white,pct_international
110875,122,97,NA,14,0.3841002325287489,0,0.05737704918032787,0.5081967213114754,0.36885245901639346,0
111054,98,88,NA,14,0.3833678214175116,0,0.05102040816326531,0.2755102040816326,0.4387755102040816,0
111081,1277,82,0,7,0.26369072079220934,0,0.06264682850430697,0.14878621769772904,0.30853563038371185,0.303054032889585
111188,837,77,100,11,0.36708647600349054,0,0.038231780167264036,0.2174432497013142,0.47072879330943845,0.0035842293906810036
111434,6625,69,35,27,0.33521570631013736,1,0.02339622641509434,0.451622641509434,0.22822641509433964,0.027320754716981133
111461,18075,70,27,25,0.3853518885944424,0,0.056099585062240664,0.509820193637621,0.2600829875518672,0.0058644536652835404
111513,219,88,83,19,0.4010617459654502,0,0.0684931506849315,0.6164383561643836,0.2100456621004566,0
111708,223,97,NA,19,0.4014187538192666,0,0.14349775784753363,0.43946188340807174,0.1210762331838565,0
111717,266,84,NA,20,0.4044857052274398,0,0.03383458646616541,0.849624060150376,0.05263157894736842,0
111726,130,79,NA,13,0.3808870432502911,0,0,0.9769230769230769,0.015384615384615385,0
111744,162,85,NA,20,0.4043640673618405,0,0.043209876543209874,0.8271604938271605,0.09259259259259259,0
111762,142,69,NA,24,0.41738246026469783,1,0.007042253521126761,0.971830985915493,0.007042253521126761,0
111799,171,84,NA,21,0.4074661131976202,0,0.005847953216374269,0.9824561403508771,0.005847953216374269,0
111887,21859,67,44,26,0.47331346325522866,1,0.0633148817420742,0.681549933665767,0.11510133125943547,0.002653369321560913
111896,5549,27,15,24,0.4196736463395612,1,0.05784826094791854,0.4766624617048117,0.3488916921967922,9.010632546404757e-4
111920,12842,70,41,24,0.38602374784829063,0,0.09095156517676374,0.44915122255100454,0.14398068836629807,0.006541037221616571
111939,22460,69,47,25,0.4415695471427241,1,0.06366874443455031,0.6439447907390917,0.12582368655387355,0.003873552983081033
111948,9760,92,60,12,0.19158548156492675,0,0.02346311475409836,0.19487704918032786,0.4273565573770492,0.0471311475409836
111966,852,50,67,4,0.37014178168180656,1,0.3615023474178404,0.1607981220657277,0.07276995305164319,0
112075,3658,75,NA,13,0.3455720371699157,0,0.05522143247676326,0.30809185347184254,0.4505194095133953,0.028157463094587207
112084,96,86,NA,9,0.36803737595312686,0,0.15625,0.2708333333333333,0.3645833333333333,0.010416666666666666
112172,10429,70,43,24,0.36708693772499446,0,0.03509444817336274,0.6569182088407326,0.14555566209607823,0.015917154089557965
112181,114,95,100,14,0.38324209144041355,0,0.02631578947368421,0.21052631578947367,0.6491228070175439,0
112190,19267,70,41,24,0.2286717559680257,0,0.07266310271448591,0.2738360928011626,0.2350651372813619,0.016297295894534696
112260,1393,98,NA,8,0.3009345841936467,0,0.040918880114860015,0.14788226848528357,0.3582196697774587,0.14931801866475233
112288,635,92,NA,12,0.3785691205477661,0,0.028346456692913385,0.7795275590551181,0.12755905511811025,0
112367,238,100,100,10,0.3702670030552251,0,0.03361344537815126,0.6134453781512605,0.14285714285714285,0
112385,9008,43,30,39,0.4086979713090231,1,0.09258436944937833,0.33348134991119005,0.26709591474245115,0.019427175843694494
112394,477,69,50,13,0.38143795178424617,1,0.13626834381551362,0.2557651991614256,0.28721174004192873,0
112455,109,63,NA,13,0.3812264014087347,1,0.06422018348623854,0.8073394495412844,0.06422018348623854,0
112561,2828,58,30,21,0.3804084773771179,1,0.0297029702970297,0.24823196605374823,0.6021923620933521,0.019094766619519095
112570,71,25,25,7,0.3613490412016839,1,0.16901408450704225,0.04225352112676056,0.39436619718309857,0
112686,5225,50,26,17,0.5215348412927446,1,0.2616267942583732,0.6177990430622009,0.016267942583732056,0
112826,6538,72,38,22,0.4158449302867816,0,0.1368920159070052,0.4831752829611502,0.11394921994493729,0.01896604466197614
113096,15744,74,42,29,0.3450429648177546,0,0.08568343495934959,0.29477896341463417,0.21239837398373984,0.002540650406504065
113193,11283,73,39,27,0.3593243902825712,0,0.01808029779314012,0.355224674288753,0.47310112558716655,0.0018612071257644244
113218,8905,72,43,28,0.398676878936448,0,0.04110050533408198,0.34564851207186975,0.46681639528354857,0.0016844469399213925
113333,17425,76,33,28,0.06558465686959833,0,0.02703012912482066,0.2593974175035868,0.20470588235294118,0.07563845050215208
113449,132,85,NA,25,0.4207461697308626,0,0.05303030303030303,0.6212121212121212,0.2727272727272727,0
113573,12861,70,44,26,0.412910696139098,0,0.023792862141357594,0.7393670787652593,0.14703366767747453,0.00536505714952181
113582,94,0,NA,8,0.3626662460904214,1,0.06382978723404255,0.18085106382978725,0.43617021276595747,0.05319148936170213
113616,52,86,NA,5,0.3466751054011242,0,0,0.07692307692307693,0.19230769230769232,0.5769230769230769
113634,17228,76,49,25,0.21018699709934488,0,0.06698397956814488,0.3118760157882517,0.2832017645693058,0.03517529602971906
113698,1900,85,100,8,0.33580177003835837,0,0.05263157894736842,0.27,0.24526315789473685,0.02631578947368421
113856,33677,65,31,33,0.4552005733747739,1,0.06063485464857321,0.6564123882768655,0.11470736704575824,0.005790301986518989
113980,21664,73,32,28,0.3852758176381222,0,0.11816838995568685,0.44363921713441656,0.11424483013293944,0.01569423929098966
114266,9336,73,29,27,0.32098473519895876,0,0.02731362467866324,0.42984147386461014,0.11718080548414739,0.005998286203941731
114433,2055,60,0,17,0.39188052490755054,1,0.08905109489051095,0.40097323600973234,0.3435523114355231,0.01167883211678832
114460,220,96,86,15,0.387819441017365,0,0.09090909090909091,0.4863636363636364,0.2636363636363636,0
114637,43,100,NA,20,0.4031746128554341,0,0.046511627906976744,0.3023255813953488,0.20930232558139536,0
114761,69,90,NA,17,0.3934827598407988,0,0.07246376811594203,0.21739130434782608,0.4927536231884058,0
114813,2879,72,50,10,0.35530518886373114,0,0.04411253907606808,0.6061132337617228,0.21743660993400488,0.023619312261201807
114859,19521,72,41,25,0.31571596224134973,0,0.029096870037395625,0.6104707750627529,0.14307668664515139,0.009220839096357769
114938,6083,69,39,27,0.4139643158237982,1,0.023508137432188065,0.6401446654611211,0.19381883938845965,0.0013151405556468849
115001,12075,73,40,28,0.3209041952192746,0,0.025175983436853,0.2627743271221532,0.5816149068322981,0.01639751552795031
115010,896,90,NA,21,0.4006779586720505,0,0.06584821428571429,0.31473214285714285,0.21205357142857142,0
