UNITID,EFTOTLT,EFBKAAT,EFHISPT,EFWHITT,EFNRALT,RET_PCF,RET_PCP,STUFACR,low_retention,risk_score
105215,527,18,76,319,0,82,NA,35,0,0.45014646816871545
105297,1434,2,3,11,2,48,50,16,1,0.3474033535081669
105330,28467,863,7113,14252,1141,75,26,19,0,0.08266389672352159
105525,16283,813,8114,5624,151,68,51,18,1,0.3656524548998723
105543,562,16,308,84,1,78,NA,25,0,0.4170375372727635
105589,867,36,68,605,1,74,NA,8,0,0.3586349147647511
105659,1417,228,507,368,0,84,NA,34,0,0.46226728880555085
105899,1421,118,364,702,48,54,50,16,1,0.37846903380009944
106041,1957,100,717,645,0,83,NA,36,0,0.4489128687061961
106245,8216,1865,683,3905,579,76,50,13,0,0.3376121343466131
106306,342,313,7,9,5,23,33,13,1,0.4091456301336588
106315,106,94,3,9,0,43,NA,20,1,0.41272921191060796
106324,61,6,3,49,0,93,83,14,0,0.3839627807170814
106342,659,49,42,222,51,71,NA,11,0,0.35461896931611064
106351,123,113,3,7,0,50,NA,25,1,0.4314507689529465
106397,33610,1314,3760,23937,1220,86,63,20,0,0.081234806324764
106412,2005,1757,59,60,75,64,27,12,1,0.5286244938418762
106449,3277,219,238,2629,4,62,52,17,1,0.38880531759355635
106458,15726,2581,796,10015,1277,78,53,17,0,0.211510380354563
106467,8746,460,1067,6358,183,74,39,17,0,0.32422885755601605
106485,2856,875,274,1544,23,72,75,12,0,0.44096664266817936
106494,29,6,0,22,0,86,NA,15,0,0.38748793959571265
106546,583,200,39,299,5,67,NA,8,1,0.37868186819411
106625,1705,49,48,1505,0,57,65,16,1,0.3808011978152932
106704,10112,1528,786,6692,346,73,33,15,0,0.367289945925433
106713,547,63,54,329,43,63,50,9,1,0.3580008319204459
106795,1312,117,369,654,0,64,25,14,1,0.38592307933648134
106810,241,32,12,190,0,54,NA,10,1,0.3723111653410756
106883,1401,518,43,748,10,70,53,10,0,0.4099294986464647
106908,360,79,26,175,0,92,100,16,0,0.39429818678260853
106980,1805,206,246,1163,24,51,41,16,1,0.3904244993326903
106999,1192,35,103,961,10,70,61,11,0,0.36539374660155743
107044,4696,291,215,3673,222,86,NA,13,0,0.31451996373575064
107071,2055,670,76,1143,52,62,7,14,1,0.4224792460946442
107080,1110,83,93,769,23,80,NA,11,0,0.36600415011192744
107099,86,4,12,61,0,78,NA,22,0,0.4099421570758211
107141,2350,91,274,1579,152,81,50,15,0,0.33651645078740267
107220,245,19,47,155,0,59,NA,13,1,0.38063666466223633
107293,52,1,5,42,0,78,NA,20,0,0.4032700420266078
107318,1022,589,37,330,10,58,51,11,1,0.42427854630178846
107327,1461,433,98,879,0,64,47,20,1,0.43819570528589546
107442,39,35,0,4,0,67,NA,18,1,0.4003403872491266
107460,2089,30,234,1632,1,54,44,14,1,0.3691372223925389
107488,206,10,68,106,0,59,0,8,1,0.36413927417890907
107512,1858,103,115,1508,35,83,20,14,0,0.3702546316752034
107521,1983,323,224,1328,0,54,57,13,1,0.3989911318545237
107549,1069,8,21,1023,0,64,55,13,1,0.3732914375353875
107558,778,48,105,338,218,69,NA,14,1,0.3261448601951593
107585,2248,202,296,1561,2,61,35,21,1,0.40920394341310373
107600,780,617,24,50,63,66,63,11,1,0.41509190853138933
107619,1199,602,45,515,0,66,79,11,1,0.4276016725351139
107637,916,567,117,199,4,44,42,8,1,0.41581101608839455
107655,42,8,1,31,0,92,NA,14,0,0.3843137380598487
107664,4478,2031,580,1425,27,56,46,16,1,0.562884431593432
107725,1305,351,179,674,5,67,35,12,1,0.40220755401521147
107743,786,11,94,544,31,63,63,19,1,0.3856477989363197
107789,99,1,19,74,1,95,NA,9,0,0.36686568459941854
107831,54,3,3,48,0,80,NA,18,0,0.39691187915619186
107840,287,176,8,95,0,39,25,16,1,0.40650905655254455
107877,517,49,17,391,42,70,NA,14,0,0.37360750907184503
107974,1207,407,84,639,11,57,28,12,1,0.4069153072710522
107983,4732,925,196,2612,736,66,21,16,1,0.2608987621601325
107992,991,382,47,463,0,57,32,11,1,0.40443960115333855
108065,8,8,0,0,0,83,100,15,0,0.3878756966198081
108092,5496,238,1100,3132,56,70,54,18,0,0.3547569251024849
108232,5498,714,990,1550,910,75,42,14,0,0.18968850188846267
108667,6141,1069,1859,973,34,62,32,38,1,0.48927865150146255
108807,11463,212,8116,2109,12,68,41,28,1,0.42308409596475577
108852,112,10,9,43,39,73,NA,12,0,0.367057191319238
108977,334,28,241,42,2,94,67,25,0,0.42222112589018257
109040,2168,274,1384,126,0,77,NA,29,0,0.4519816286767963
109208,30462,1921,9459,11183,47,72,46,29,0,0.31004682571079123
109651,2308,26,198,242,1089,86,NA,9,0,0.1300550603733988
109721,315,84,45,163,0,55,NA,13,1,0.38682104306461534
109785,6272,396,2483,1420,239,84,43,9,0,0.28914235174092984
109907,3226,666,1471,663,3,67,35,26,1,0.4750373281512454
